Hoofdstuk,Reeks,Frans,Nederlands
A,1,un an,een jaar
A,1,Au revoir!,Tot ziens!
A,1,Bonjour!,Goedendag!
A,1,Comment tu t'appelles?,Hoe heet jij?
A,1,comment?,hoe?
A,1,de Bruxelles / d'Anvers,van Brussel / van Antwerpen
A,1,et,en
A,1,Et toi?,En jij?
A,1,être,zijn
A,1,J'ai 9 ans.,Ik ben 9 jaar.
A,1,Je m'appelle Sami.,Ik heet Sami.
A,1,"Moi, je suis Milou.","Ik, ik ben Milou."
A,1,non,nee
A,1,oui,ja
A,1,qui?,wie?
A,1,Salut!,Dag!
A,1,Tu as quel âge?,Hoe oud ben jij?
A,1,Tu es qui?,Wie ben jij?
A,1,(un) zéro,een nul
A,1,"un, une",één
A,1,deux,twee
A,1,trois,drie
A,1,quatre,vier
A,1,cinq,vijf
A,1,six,zes
A,1,sept,zeven
A,1,huit,acht
A,1,neuf,negen
A,1,dix,tien
A,1,onze,elf
A,1,douze,twaalf
A,2,avec,met
A,2,un banc,een bank
A,2,un bureau,een bureau
A,2,un cahier,een schrift
A,2,ce sont,het zijn
A,2,c'est,het is
A,2,une classe,een klas
A,2,un crayon,een potlood
A,2,une école,een school
A,2,un/une élève,een leerling(e)
A,2,un exercice,een oefening
A,2,une feuille,een blad
A,2,une gomme,een gom
A,2,il y a,"er is, er zijn"
A,2,Je ne comprends pas.,Ik begrijp het niet.
A,2,un livre,een boek
A,2,une page,een pagina
A,2,pardon,"sorry, excuseer"
A,2,Pas trop vite!,Niet te snel!
A,2,Prenez une feuille.,Neem een blaadje.
A,2,un prof,een leraar
A,2,une prof,een lerares
A,2,une question,een vraag
A,2,Quoi?,Wat?
A,2,une réponse,een antwoord
A,2,s'il te plait,alsjeblieft
A,2,s'il vous plait,alstublieft
A,2,un stylo,een balpen
A,2,un tableau,een bord
A,2,un texte,een tekst
A,2,trop,te
A,2,vite,snel
A,2,voici,"hier is, hier zijn"
A,2,un voisin,een buur(man)
A,2,une voisine,een buur(vrouw)
A,3,aimer,"houden van, leuk vinden"
A,3,un ami / une amie,een vriend / een vriendin
A,3,une chanson,een lied
A,3,chanter,zingen
A,3,un cinéma,een bioscoop
A,3,danser,dansen
A,3,dimanche,zondag
A,3,écouter,luisteren (naar)
A,3,un film,een film
A,3,un GSM,een gsm
A,3,jeudi,donderdag
A,3,jouer,spelen
A,3,un jour,een dag
A,3,lundi,maandag
A,3,mardi,dinsdag
A,3,mercredi,woensdag
A,3,la musique,de muziek
A,3,un ordinateur,een computer
A,3,un portable,een laptop
A,3,une radio,een radio
A,3,regarder,kijken
A,3,samedi,zaterdag
A,3,une semaine,een week
A,3,un sport,een sport
A,3,une télé(vision),een televisie
A,3,téléphoner (à),telefoneren (naar)
A,3,Tu aimes faire quoi?,Wat doe je graag?
A,3,Tu fais quoi?,Wat doe je?
A,3,vendredi,vrijdag
A,3,un weekend,een weekend
