Hoofdstuk,Reeks,Frans,Nederlands
Opdrachten,1,Ajoutez.,Voeg toe.
Opdrachten,1,Barrez.,Doorstreep.
Opdrachten,1,Cachez.,Dek af.
Opdrachten,1,Cherchez.,Zoek.
Opdrachten,1,Choisissez.,Kies.
Opdrachten,1,Coloriez.,Kleur.
Opdrachten,1,Combinez.,Combineer.
Opdrachten,1,Complétez.,Vul aan.
Opdrachten,1,Continuez.,Ga verder.
Opdrachten,1,Conjuguez.,Vervoeg.
Opdrachten,1,Copiez.,Kopieer.
Opdrachten,1,Dessinez.,Teken.
Opdrachten,1,Écoutez.,Luister.
Opdrachten,1,Écrivez.,Schrijf.
Opdrachten,1,Étudiez.,Studeer.
Opdrachten,1,Indiquez.,Duid aan.
Opdrachten,1,Jouez.,Speel.
Opdrachten,1,Lisez.,Lees.
Opdrachten,1,Marquez.,Duid aan.
Opdrachten,1,Mettez.,Zet.
Opdrachten,1,Numérotez.,Nummer.
Opdrachten,1,Regardez.,Kijk.
Opdrachten,1,Répétez.,Herhaal.
Opdrachten,1,Soulignez.,Onderstreep.
Opdrachten,1,Traduisez.,Vertaal.
Opdrachten,1,Travaillez à deux.,Werk per twee.
